lat,lon,sunrise,sunset,solar_noon,day_length_sec,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day_length_hr
31.33,-114.82,2026-05-22T05:37:42-07:00,2026-05-22T19:34:16-07:00,2026-05-22T12:35:59-07:00,50194,2026-05-22T05:12:00-07:00,2026-05-22T19:59:58-07:00,2026-05-22T04:39:16-07:00,2026-05-22T20:32:42-07:00,2026-05-22T04:04:30-07:00,2026-05-22T21:07:28-07:00,13.9428
31.33,-114.32,2026-05-22T05:35:42-07:00,2026-05-22T19:32:16-07:00,2026-05-22T12:33:59-07:00,50194,2026-05-22T05:10:00-07:00,2026-05-22T19:57:58-07:00,2026-05-22T04:37:16-07:00,2026-05-22T20:30:42-07:00,2026-05-22T04:02:30-07:00,2026-05-22T21:05:28-07:00,13.9428
31.33,-113.82,2026-05-22T05:33:42-07:00,2026-05-22T19:30:16-07:00,2026-05-22T12:31:59-07:00,50194,2026-05-22T05:08:00-07:00,2026-05-22T19:55:58-07:00,2026-05-22T04:35:16-07:00,2026-05-22T20:28:42-07:00,2026-05-22T04:00:30-07:00,2026-05-22T21:03:28-07:00,13.9428
31.33,-113.32,2026-05-22T05:31:42-07:00,2026-05-22T19:28:16-07:00,2026-05-22T12:29:59-07:00,50194,2026-05-22T05:06:00-07:00,2026-05-22T19:53:58-07:00,2026-05-22T04:33:17-07:00,2026-05-22T20:26:42-07:00,2026-05-22T03:58:30-07:00,2026-05-22T21:01:28-07:00,13.9428
31.33,-112.82,2026-05-22T05:29:42-07:00,2026-05-22T19:26:16-07:00,2026-05-22T12:27:59-07:00,50194,2026-05-22T05:04:00-07:00,2026-05-22T19:51:58-07:00,2026-05-22T04:31:17-07:00,2026-05-22T20:24:42-07:00,2026-05-22T03:56:30-07:00,2026-05-22T20:59:28-07:00,13.9428
31.33,-112.32,2026-05-22T05:27:42-07:00,2026-05-22T19:24:16-07:00,2026-05-22T12:25:59-07:00,50194,2026-05-22T05:02:00-07:00,2026-05-22T19:49:58-07:00,2026-05-22T04:29:17-07:00,2026-05-22T20:22:42-07:00,2026-05-22T03:54:30-07:00,2026-05-22T20:57:28-07:00,13.9428
31.33,-111.82,2026-05-22T05:25:42-07:00,2026-05-22T19:22:16-07:00,2026-05-22T12:23:59-07:00,50194,2026-05-22T05:00:00-07:00,2026-05-22T19:47:58-07:00,2026-05-22T04:27:17-07:00,2026-05-22T20:20:42-07:00,2026-05-22T03:52:30-07:00,2026-05-22T20:55:28-07:00,13.9428
31.33,-111.32,2026-05-22T05:23:42-07:00,2026-05-22T19:20:16-07:00,2026-05-22T12:21:59-07:00,50194,2026-05-22T04:58:00-07:00,2026-05-22T19:45:58-07:00,2026-05-22T04:25:17-07:00,2026-05-22T20:18:41-07:00,2026-05-22T03:50:30-07:00,2026-05-22T20:53:28-07:00,13.9428
31.33,-110.82,2026-05-22T05:21:42-07:00,2026-05-22T19:18:16-07:00,2026-05-22T12:19:59-07:00,50194,2026-05-22T04:56:00-07:00,2026-05-22T19:43:58-07:00,2026-05-22T04:23:17-07:00,2026-05-22T20:16:41-07:00,2026-05-22T03:48:30-07:00,2026-05-22T20:51:28-07:00,13.9428
31.33,-110.32,2026-05-22T05:19:42-07:00,2026-05-22T19:16:16-07:00,2026-05-22T12:17:59-07:00,50194,2026-05-22T04:54:00-07:00,2026-05-22T19:41:58-07:00,2026-05-22T04:21:17-07:00,2026-05-22T20:14:41-07:00,2026-05-22T03:46:30-07:00,2026-05-22T20:49:28-07:00,13.9428
31.33,-109.82,2026-05-22T05:17:42-07:00,2026-05-22T19:14:16-07:00,2026-05-22T12:15:59-07:00,50194,2026-05-22T04:52:00-07:00,2026-05-22T19:39:58-07:00,2026-05-22T04:19:17-07:00,2026-05-22T20:12:41-07:00,2026-05-22T03:44:31-07:00,2026-05-22T20:47:28-07:00,13.9428
31.33,-109.32,2026-05-22T05:15:43-07:00,2026-05-22T19:12:16-07:00,2026-05-22T12:13:59-07:00,50193,2026-05-22T04:50:01-07:00,2026-05-22T19:37:58-07:00,2026-05-22T04:17:17-07:00,2026-05-22T20:10:41-07:00,2026-05-22T03:42:31-07:00,2026-05-22T20:45:28-07:00,13.9425
31.33,-108.82,2026-05-22T05:13:43-07:00,2026-05-22T19:10:16-07:00,2026-05-22T12:11:59-07:00,50193,2026-05-22T04:48:01-07:00,2026-05-22T19:35:58-07:00,2026-05-22T04:15:17-07:00,2026-05-22T20:08:41-07:00,2026-05-22T03:40:31-07:00,2026-05-22T20:43:28-07:00,13.9425
31.83,-114.82,2026-05-22T05:36:36-07:00,2026-05-22T19:35:22-07:00,2026-05-22T12:35:59-07:00,50326,2026-05-22T05:10:43-07:00,2026-05-22T20:01:15-07:00,2026-05-22T04:37:43-07:00,2026-05-22T20:34:15-07:00,2026-05-22T04:02:35-07:00,2026-05-22T21:09:23-07:00,13.9794
31.83,-114.32,2026-05-22T05:34:36-07:00,2026-05-22T19:33:22-07:00,2026-05-22T12:33:59-07:00,50326,2026-05-22T05:08:43-07:00,2026-05-22T19:59:15-07:00,2026-05-22T04:35:43-07:00,2026-05-22T20:32:15-07:00,2026-05-22T04:00:35-07:00,2026-05-22T21:07:23-07:00,13.9794
31.83,-113.82,2026-05-22T05:32:36-07:00,2026-05-22T19:31:22-07:00,2026-05-22T12:31:59-07:00,50326,2026-05-22T05:06:43-07:00,2026-05-22T19:57:15-07:00,2026-05-22T04:33:43-07:00,2026-05-22T20:30:15-07:00,2026-05-22T03:58:35-07:00,2026-05-22T21:05:23-07:00,13.9794
31.83,-113.32,2026-05-22T05:30:36-07:00,2026-05-22T19:29:22-07:00,2026-05-22T12:29:59-07:00,50326,2026-05-22T05:04:43-07:00,2026-05-22T19:55:15-07:00,2026-05-22T04:31:44-07:00,2026-05-22T20:28:15-07:00,2026-05-22T03:56:35-07:00,2026-05-22T21:03:23-07:00,13.9794
31.83,-112.82,2026-05-22T05:28:36-07:00,2026-05-22T19:27:22-07:00,2026-05-22T12:27:59-07:00,50326,2026-05-22T05:02:44-07:00,2026-05-22T19:53:15-07:00,2026-05-22T04:29:44-07:00,2026-05-22T20:26:15-07:00,2026-05-22T03:54:35-07:00,2026-05-22T21:01:23-07:00,13.9794
31.83,-112.32,2026-05-22T05:26:37-07:00,2026-05-22T19:25:22-07:00,2026-05-22T12:25:59-07:00,50325,2026-05-22T05:00:44-07:00,2026-05-22T19:51:15-07:00,2026-05-22T04:27:44-07:00,2026-05-22T20:24:15-07:00,2026-05-22T03:52:35-07:00,2026-05-22T20:59:23-07:00,13.9792
